STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
11	/ˌkɒntrɪˈbjuːʃn/	contribution	Sự đóng góp	It was probably the single greatest contribution to geographical knowledge ever made to the West about the East.\nNó có lẽ là sự đóng góp đơn lẻ lớn nhất vào kiến thức địa lý về phương Đông từng được mang đến cho phương Tây.	2	Reading Explorer B2
12	/lɒɡ/	log	Khúc củi	Homes were heated with "black stones which burn like logs."\nCác ngôi nhà được sưởi ấm bằng "những viên đá đen cháy như những khúc củi."	2	Reading Explorer B2
13	/əˈbændən/	abandon	Rời bỏ/Từ bỏ	"...with the intention of making the pilgrimage [to Mecca] to leave all my friends both female and male, to abandon my home as birds abandon their nests."\n"...với ý định thực hiện một cuộc hành hương [đến Mecca] để rời xa tất cả bạn bè cả nam lẫn nữ, từ bỏ ngôi nhà của mình giống như chim non rời bỏ tổ."	2	Reading Explorer B2
14	/rɪˈɡɑːd/	regard	Coi là/Xem là	Ibn Battuta is now regarded as one of history's great travelers.\nIbn Battuta hiện được coi là một trong những nhà du hành vĩ đại của lịch sử.	2	Reading Explorer B2
15	/ˈpraɪə(r)/	prior	Trước khi	Prior to his adventures traveling the world, Ibn Battuta studied in Mecca for several years.\nTrước những cuộc phiêu lưu vòng quanh thế giới, Ibn Battuta đã học tập tại Mecca trong vài năm.	2	Reading Explorer B2
16	/ɜːdʒ/	urge	Sự thôi thúc/Thèm muốn	However, the urge to travel soon took over.\nTuy nhiên, sự thôi thúc đi du lịch đã sớm chiếm lấy tâm trí ông.	2	Reading Explorer B2
17	/siːk/	seek	Tìm kiếm	He traveled to India, seeking profitable employment with the Sultan of Delhi.\nÔng đã đến Ấn Độ, tìm kiếm một công việc sinh lời với Sultan (vua) của Delhi.	2	Reading Explorer B2
18	/ˈærəʊ/	arrow	Mũi tên	"...I was hit by an arrow and my horse by another, but God in his grace preserved me."\n"...Tôi bị trúng một mũi tên và con ngựa của tôi trúng một mũi tên khác, nhưng Thượng đế bằng lòng vị tha của Ngài đã che chở cho tôi."	2	Reading Explorer B2
19	/prɪˈzɜːv/	preserve	Bảo vệ/Gìn giữ	"...I was hit by an arrow and my horse by another, but God in his grace preserved me."\n"...Tôi bị trúng một mũi tên và con ngựa của tôi trúng một mũi tên khác, nhưng Thượng đế bằng lòng vị tha của Ngài đã che chở cho tôi."	2	Reading Explorer B2
20	/ˈfaɪnæns/	finance	Tài trợ/Cấp vốn	When the sultan offered to finance a trip to China, Ibn Battuta agreed.\nKhi vị sultan đề nghị tài trợ cho một chuyến đi đến Trung Quốc, Ibn Battuta đã đồng ý.	2	Reading Explorer B2
21	/straɪk/	strike	Ập đến/Tấn công	He set off in three ships, but misfortune struck while he was still on shore.\nÔng khởi hành trên ba con tàu, nhưng bất hạnh đã ập đến khi ông vẫn còn ở trên bờ.	2	Reading Explorer B2
22	/ʃɔː(r)/	shore	Bờ biển/Bờ đất	He set off in three ships, but misfortune struck while he was still on shore.\nÔng khởi hành trên ba con tàu, nhưng bất hạnh đã ập đến khi ông vẫn còn ở trên bờ.	2	Reading Explorer B2
23	/sleɪv/	slave	Nô lệ	As he watched, the third ship, with all his belongings and slaves, was carried out to sea and never heard from again.\nKhi ông đứng nhìn, con tàu thứ ba, cùng toàn bộ đồ đạc và nô lệ của ông, đã bị cuốn ra biển và không bao giờ có tin tức gì nữa.	2	Reading Explorer B2
24	/ˈlaɪftaɪm/	lifetime	Cả cuộc đời/Đời người	After a lifetime of adventures, Ibn Battuta was finally ordered by the Sultan of Morocco to return home to share his wisdom with the world.\nSau cả một đời phiêu lưu, Ibn Battuta cuối cùng đã được Sultan của Maroc lệnh cho trở về quê hương để chia sẻ trí tuệ của mình với thế giới.	2	Reading Explorer B2
25	/ˈwɪzdəm/	wisdom	Trí tuệ/Sự thông thái	After a lifetime of adventures, Ibn Battuta was finally ordered by the Sultan of Morocco to return home to share his wisdom with the world.\nSau cả một đời phiêu lưu, Ibn Battuta cuối cùng đã được Sultan của Maroc lệnh cho trở về quê hương để chia sẻ trí tuệ của mình với thế giới.	2	Reading Explorer B2
26	/ˈnjuːmərəs/	numerous	Nhiều/Đông đảo	Fortunately, he consented and wrote a book that has been translated into numerous languages...\nMay mắn thay, ông đã đồng ý và viết một cuốn sách đã được dịch ra nhiều thứ tiếng...	2	Reading Explorer B2
27	/nest/	nest	Cái tổ	"...with the intention of making the pilgrimage [to Mecca] to leave all my friends both female and male, to abandon my home as birds abandon their nests."\n"...với ý định thực hiện một cuộc hành hương [đến Mecca] để rời xa tất cả bạn bè cả nam lẫn nữ, từ bỏ ngôi nhà của mình giống như chim non rời bỏ tổ."	2	Reading Explorer B2
28	/ˈmænjuskrɪpt/	manuscript	Bản viết tay/Bản thảo	So begins an old manuscript in a library in Paris-the travel journal of Ibn Battuta.\nĐó là khởi đầu của một bản thảo cổ trong một thư viện ở Paris - nhật ký hành trình của Ibn Battuta.	2	Reading Explorer B2
29	/ˌkjuəriˈɒsəti/	curiosity	Sự tò mò	Driven by curiosity, he journeyed to remote corners of the Islamic world...\nĐược thúc đẩy bởi sự tò mò, ông đã hành trình đến những góc xa xôi của thế giới Hồi giáo...	2	Reading Explorer B2
30	/ˈprɒfɪtəbl/	profitable	Sinh lời/Có lợi nhuận	He traveled to India, seeking profitable employment with the Sultan of Delhi.\nÔng đã đến Ấn Độ, tìm kiếm một công việc sinh lời với Sultan của Delhi.	2	Reading Explorer B2
31	/ɡreɪs/	grace	Lòng vị tha/Hồng ân	"...I was hit by an arrow and my horse by another, but God in his grace preserved me."\n"...Tôi bị trúng một mũi tên và con ngựa của tôi trúng một mũi tên khác, nhưng Thượng đế bằng lòng vị tha của Ngài đã che chở cho tôi."	2	Reading Explorer B2
32	/draʊn/	drown	Chết đuối/Nhấn chìm	Scattering treasure, the storm drowned many people and horses.\nLàm phân tán kho báu, cơn bão đã nhấn chìm nhiều người và ngựa.	2	Reading Explorer B2
33	/kənˈsent/	consent	Đồng ý/Bằng lòng	Fortunately, he consented and wrote a book that has been translated into numerous languages...\nMay mắn thay, ông đã đồng ý và viết một cuốn sách đã được dịch ra nhiều thứ tiếng...	2	Reading Explorer B2
