STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
19	/kruːz ʃɪp/	cruise ship	du thuyền	He dreams of working as a tour guide on Greenland's cruise ships.\nAnh mơ ước làm hướng dẫn viên trên các tàu du lịch ở Greenland.	4	Reading Explorer B2
20	/ˈlaɪvli/	lively	sôi nổi	Huctin gets into a lively discussion at one community gathering.\nHuctin tham gia vào một cuộc thảo luận sôi nổi tại một buổi tụ họp cộng đồng.	4	Reading Explorer B2
21	/kənˈsɜːvətɪv/	conservative	bảo thủ	If we don't move out of isolation, we will always be conservative.\nNếu không thoát khỏi sự cô lập, chúng ta sẽ luôn bảo thủ.	4	Reading Explorer B2
22	/əˈprəʊtʃ/	approach	cách tiếp cận	This approach forces young people into a life of hunting and fishing.\nCách tiếp cận này buộc người trẻ phải theo đuổi cuộc sống săn bắn và đánh cá.	4	Reading Explorer B2
23	/bɪˈjɒnd/	beyond	vượt ra ngoài	Encouraging them to look beyond tradition.\nKhuyến khích họ nhìn xa hơn truyền thống.	4	Reading Explorer B2
24	/prɪˈzɜːv/	preserve	bảo tồn	Such places preserve Inuit hunting culture.\nNhững nơi như vậy bảo tồn văn hóa săn bắn của người Inuit.	4	Reading Explorer B2
25	/səˈsteɪnəbl/	sustainable	bền vững	These communities can invent a sustainable future.\nNhững cộng đồng này có thể tạo ra một tương lai bền vững.	4	Reading Explorer B2
26	/ɪkˈsepʃn/	exception	ngoại lệ	An exception is Ilannguaq Egede.\nMột ngoại lệ là Ilannguaq Egede.	4	Reading Explorer B2
27	/siːl/	seal	hải cẩu	The people survive mainly on seal hunting and fishing.\nNgười dân chủ yếu sống nhờ săn hải cẩu và đánh cá.	4	Reading Explorer B2
28	/ˈsetlmənt/	settlement	khu định cư	Niaqornat is a settlement near Uummannaq.\nNiaqornat là một khu định cư gần Uummannaq.	4	Reading Explorer B2
29	/ˈɡæðərɪŋ/	gathering	buổi tụ họp	The question is discussed at community gatherings.\nCâu hỏi này được thảo luận tại các buổi tụ họp cộng đồng.	4	Reading Explorer B2
30	/ˌaɪsəˈleɪʃn/	isolation	sự cô lập	If we don't move out of isolation, we will always be conservative.\nNếu không thoát khỏi sự cô lập, chúng ta sẽ luôn bảo thủ.	4	Reading Explorer B2
31	/ˈsʌbsɪdi/	subsidy	trợ cấp	Traditional lifestyles survive only because of government subsidies.\nLối sống truyền thống chỉ tồn tại nhờ các khoản trợ cấp của chính phủ.	4	Reading Explorer B2
32	/ˈhəʊpfl/	hopeful	đầy hy vọng	But Huctin is hopeful.\nNhưng Huctin vẫn đầy hy vọng.	4	Reading Explorer B2
