STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
15	ˈestɪmeɪt	Estimate	Ước lượng, ước tính	Experts estimate that the price of houses will increase next year.\nCác chuyên gia ước tính rằng giá nhà sẽ tăng vào năm tới.	3	Destination B2
16	ˈkælkjuleɪt	Calculate	Tính toán	You need to calculate the total cost before buying the laptop.\nBạn cần tính toán tổng chi phí trước khi mua chiếc máy tính xách tay.	3	Destination B2
17	ɪˈlektrɪk	Electric	Thuộc về điện, chạy bằng điện	Mr.Cat recently bought a new electric car to protect the environment.\nMr.Cat gần đây đã mua một chiếc xe điện mới để bảo vệ môi trường.	3	Destination B2
18	ˌelekˈtrɒnɪk	Electronic	Thuộc về điện tử	Students are not allowed to use electronic devices during the exam.\nHọc sinh không được phép sử dụng các thiết bị điện tử trong suốt kỳ thi.	3	Destination B2
19	ɪnˈvent	Invent	Phát minh	Who invented the telephone in the nineteenth century?\nAi đã phát minh ra điện thoại vào thế kỷ mười chín?	3	Destination B2
20	dɪˈskʌvə(r)	Discover	Khám phá, phát hiện	Scientists hope to discover new species of plants in this forest.\nCác nhà khoa học hy vọng khám phá ra những loài thực vật mới trong khu rừng này.	3	Destination B2
21	rɪˈsɜːtʃ	Research	Nghiên cứu	She spent three years doing research on renewable energy.\nCô ấy đã dành ba năm để làm nghiên cứu về năng lượng tái tạo.	3	Destination B2
22	ɪkˈsperɪmənt	Experiment	Thí nghiệm	We did a simple chemistry experiment in class yesterday.\nChúng tôi đã làm một thí nghiệm hóa học đơn giản trong lớp ngày hôm qua.	3	Destination B2
23	ˈprəʊɡres	Progress	Sự tiến bộ, tiến trình	Mr.Fox is making good progress with his English lessons.\nMr.Fox đang có sự tiến bộ tốt với các bài học tiếng Anh của mình.	3	Destination B2
24	dɪˈveləpmənt	Development	Sự phát triển	The company supports the development of new software technologies.\nCông ty hỗ trợ sự phát triển của các công nghệ phần mềm mới.	3	Destination B2
25	ˈmɒdn	Modern	Hiện đại	This building has a modern design with large glass windows.\nTòa nhà này có thiết kế hiện đại với những ô cửa kính lớn.	3	Destination B2
26	njuː	New	Mới	Mr.Dog is excited about starting his new job next Monday.\nMr.Dog rất hào hứng về việc bắt đầu công việc mới vào thứ Hai tới.	3	Destination B2
27	ˈɪndəstri	Industry	Ngành công nghiệp	The tourism industry provides jobs for thousands of local people.\nNgành công nghiệp du lịch cung cấp việc làm cho hàng ngàn người dân địa phương.	3	Destination B2
28	ˈfæktri	Factory	Nhà máy	This factory produces thousands of shoes every single day.\nNhà máy này sản xuất hàng ngàn đôi giày mỗi ngày.	3	Destination B2
29	əˈwɔːd	Award	Giải thưởng (chính thức)	The young actor won an award for his excellent performance.\nNam diễn viên trẻ đã giành được một giải thưởng vì màn trình diễn xuất sắc của mình.	3	Destination B2
30	rɪˈwɔːd	Reward	Phần thưởng (đền đáp)	The company offered a reward for information about the missing document.\nCông ty đã đưa ra một phần thưởng cho thông tin về tài liệu bị mất.	3	Destination B2
31	teɪk pleɪs	Take place	Diễn ra	The music festival will take place in the park this summer.\nLễ hội âm nhạc sẽ diễn ra tại công viên vào mùa hè này.	3	Destination B2
32	əˈkɜː(r) 	Occur	Xảy ra	Accidents are more likely to occur when the roads are wet.\nTai nạn có nhiều khả năng xảy ra hơn khi đường sá ẩm ướt.	3	Destination B2
33	breɪk daʊn	Break down	Bị hỏng, suy sụp	Our old car broke down on the way to the airport.\nChiếc xe cũ của chúng tôi đã bị hỏng trên đường đến sân bay.	3	Destination B2
34	ˈkæri aʊt	Carry out	Tiến hành, thực hiện	The team will carry out a survey to collect customer feedback.\nNhóm sẽ tiến hành một cuộc khảo sát để thu thập ý kiến phản hồi của khách hàng.	3	Destination B2
35	kʌm ɒf	Come off	Thành công, bong ra	We were worried, but the surprise party came off perfectly.\nChúng tôi đã lo lắng, nhưng bữa tiệc bất ngờ đã thành công tốt đẹp.	3	Destination B2
36	kʌm ɒn	Come on	Tiến triển, đi tiếp, cố lên	Your English is coming on well thanks to daily practice.\nTiếng Anh của bạn đang tiến triển tốt nhờ vào việc luyện tập hàng ngày.	3	Destination B2
37	kʌm ʌp wɪð	Come up with	Nghĩ ra (ý tưởng)	Mr.Cat came up with a great idea for our weekend trip.\nMr.Cat đã nghĩ ra một ý tưởng tuyệt vời cho chuyến đi cuối tuần của chúng tôi.	3	Destination B2
38	kʌt ɒf	Cut off	Cắt, ngắt (điện, nước)	They will cut off the electricity if we don't pay the bill today.\nHọ sẽ cắt điện nếu chúng ta không thanh toán hóa đơn hôm nay.	3	Destination B2
39	faɪnd aʊt	Find out	Tìm ra, phát hiện ra	I need to find out what time the train leaves tomorrow.\nTôi cần tìm hiểu xem ngày mai tàu chạy lúc mấy giờ.	3	Destination B2
40	ɡɪv ɒf	Give off	Toả ra, phát ra	The old machine started to give off a strange burning smell.\nChiếc máy cũ bắt đầu tỏa ra một mùi khét kỳ lạ.	3	Destination B2
41	ˈnærəʊ daʊn	Narrow down	Thu hẹp (phạm vi)	We should narrow down the list of choices to just three options.\nChúng ta nên thu hẹp danh sách lựa chọn xuống còn đúng ba phương án.	3	Destination B2
42	plʌɡ ɪn	Plug in	Cắm điện	Please plug in the laptop because the battery is almost dead.\nVui lòng cắm điện máy tính xách tay vì pin gần hết rồi.	3	Destination B2
43	pʊt θruː	Put through	Nối máy (điện thoại)	Could you put me through to the manager's office, please?\nBạn có thể vui lòng nối máy cho tôi đến văn phòng quản lý được không?	3	Destination B2
44	tɜːn ˈɪntə	Turn into	Biến thành, trở thành	The small village has turned into a busy modern town.\nNgôi làng nhỏ đã biến thành một thị trấn hiện đại nhộn nhịp.	3	Destination B2
45	tɜːn ɒf	Turn off	Tắt (thiết bị)	Remember to turn off the lights before you leave the room.\nHãy nhớ tắt đèn trước khi bạn rời khỏi phòng.	3	Destination B2
46	wɜːk aʊt	Work out	Tìm ra cách giải quyết	It took us two hours to work out the answer to this puzzle.\nChúng tôi đã mất hai giờ để tìm ra câu trả lời cho câu đố này.	3	Destination B2
47	meɪk ən əˈtempt æt ˈsʌmθɪŋ	Make an attempt at something	Nỗ lực làm điều gì đó	Mr.Fox made an attempt at the difficult exam despite being tired.\nMr.Fox đã nỗ lực làm bài kiểm tra khó khăn dù đang mệt mỏi.	3	Destination B2
48	meɪk ən əˈtempt æt ˈduːɪŋ ˈsʌmθɪŋ	Make an attempt at doing something	Nỗ lực thực hiện việc gì đó	They made an attempt at completing the work before midnight.\nHọ đã nỗ lực hoàn thành công việc trước nửa đêm.	3	Destination B2
49	meɪk ən əˈtempt tuː duː ˈsʌmθɪŋ	Make an attempt to do something	Nỗ lực để làm gì đó	Mr.Dog made an attempt to do the project on his own.\nMr.Dog đã nỗ lực để tự mình thực hiện dự án.	3	Destination B2
50	əˈtempt tuː duː ˈsʌmθɪŋ	Attempt to do something	Cố gắng làm gì	Do not attempt to fix the machine without reading the guide.\nĐừng cố gắng sửa máy mà không đọc hướng dẫn.	3	Destination B2
51	ɪn ən əˈtempt tuː duː ˈsʌmθɪŋ	In an attempt to do something	Trong sự nỗ lực làm gì	He woke up early in an attempt to catch the first bus.\nAnh ấy đã thức dậy sớm trong sự nỗ lực bắt kịp chuyến xe buýt đầu tiên.	3	Destination B2
52	ɒn ˈævərɪdʒ	On average	Trung bình	On average, a person needs about eight hours of sleep per night.\nTrung bình, một người cần khoảng tám tiếng ngủ mỗi đêm.	3	Destination B2
53	ɪn ðə bɪˈɡɪnɪŋ	In the beginning	Ban đầu, lúc đầu	In the beginning, learning a new language can be quite hard.\nBan đầu, việc học một ngôn ngữ mới có thể khá khó khăn.	3	Destination B2
54	æt ðə bɪˈɡɪnɪŋ ɒv ˈsʌmθɪŋ	At the beginning of something	Vào lúc bắt đầu của cái gì	There is a short introduction at the beginning of the book.\nCó một lời giới thiệu ngắn ở phần đầu của cuốn sách.	3	Destination B2
55	bɪˈɡɪnɪŋ wɪð	Beginning with	Bắt đầu với	Let's make a list of words beginning with the letter A.\nChúng ta hãy lập một danh sách các từ bắt đầu bằng chữ cái A.	3	Destination B2
56	æt ðə ˈbɒtəm ɒv ˈsʌmθɪŋ	At the bottom of something	Ở dưới đáy/dưới cùng của cái gì	Please sign your name at the bottom of the page.\nVui lòng ký tên của bạn ở phía dưới cùng của trang giấy.	3	Destination B2
57	ɒn ðə ˈbɒtəm ɒv ˈsʌmθɪŋ	On the bottom of something	Ở mặt dưới của cái gì	There is a small price tag on the bottom of the box.\nCó một nhãn giá nhỏ ở mặt dưới của chiếc hộp.	3	Destination B2
58	biː ðə kɔːz ɒv ˈsʌmθɪŋ	Be the cause of something	Là nguyên nhân của cái gì	Smoking can be the cause of many serious health problems.\nHút thuốc có thể là nguyên nhân của nhiều vấn đề sức khỏe nghiêm trọng.	3	Destination B2
59	faɪnd ðə kɔːz ɒv ˈsʌmθɪŋ	Find the cause of something	Tìm ra nguyên nhân của cái gì	The mechanics are trying to find the cause of the engine noise.\nCác thợ máy đang cố gắng tìm ra nguyên nhân của tiếng ồn động cơ.	3	Destination B2
60	lʊk fɔː(r) ðə kɔːz ɒv ˈsʌmθɪŋ	Look for the cause of something	Tìm kiếm nguyên nhân của cái gì	Doctors look for the cause of the illness to give the right cure.\nCác bác sĩ tìm kiếm nguyên nhân của căn bệnh để đưa ra cách chữa trị đúng.	3	Destination B2
61	kʌm tuː ðə kənˈkluːʒn	Come to the conclusion	Đi đến kết luận	Mr.Cat came to the conclusion that he needed to change his job.\nMr.Cat đã đi đến kết luận rằng anh ấy cần phải thay đổi công việc.	3	Destination B2
62	riːtʃ ðə kənˈkluːʒn	Reach the conclusion	Đạt được kết luận	After long discussions, they finally reached the same conclusion.\nSau những cuộc thảo luận dài, cuối cùng họ đã đạt được cùng một kết luận.	3	Destination B2
63	ɪn kənˈkluːʒn	In conclusion	Tóm lại, kết luận lại	In conclusion, I would like to thank everyone for coming today.\nTóm lại, tôi muốn cảm ơn mọi người đã đến ngày hôm nay.	3	Destination B2
64	duː ən ɪkˈsperɪmənt ɒn ˈsʌmθɪŋ	Do an experiment on something	Tiến hành thí nghiệm trên cái gì	The scientists will do an experiment on the new material tomorrow.\nCác nhà khoa học sẽ tiến hành một thí nghiệm trên vật liệu mới vào ngày mai.	3	Destination B2
65	pəˈfɔːm ən ɪkˈsperɪmənt ɒn ˈsʌmθɪŋ	Perform an experiment on something	Thực hiện thí nghiệm trên cái gì	Students perform an experiment on plants to see how they grow.\nHọc sinh thực hiện một thí nghiệm trên cây cối để xem chúng phát triển thế nào.	3	Destination B2
66	ˈkæri aʊt ən ɪkˈsperɪmənt ɒn ˈsʌmθɪŋ	Carry out an experiment on something	Tiến hành một thí nghiệm trên cái gì	They want to carry out an experiment on how light affects sleep.\nHọ muốn tiến hành một thí nghiệm về việc ánh sáng ảnh hưởng đến giấc ngủ thế nào.	3	Destination B2
67	ɪkˈsperɪmənt wɪð ˈsʌmθɪŋ	Experiment with something	Thí nghiệm với cái gì	The chef loves to experiment with different spices in his kitchen.\nBếp trưởng rất thích thử nghiệm với các loại gia vị khác nhau trong bếp của mình.	3	Destination B2
68	ɪkˈsperɪmənt wɪð ˈduːɪŋ ˈsʌmθɪŋ	Experiment with doing something	Thử nghiệm làm việc gì	Mr.Fox decided to experiment with growing vegetables at home.\nMr.Fox đã quyết định thử nghiệm việc trồng rau tại nhà.	3	Destination B2
69	ɪn fækt	In fact	Trên thực tế, thực tế là	The test was not hard; in fact, everyone passed it easily.\nBài kiểm tra không khó; thực tế là mọi người đều vượt qua nó dễ dàng.	3	Destination B2
70	æz ə ˈmætə(r) ɒv fækt	As a matter of fact	Thực tế là, thực ra	As a matter of fact, Mr.Dog has already seen this movie twice.\nThực ra, Mr.Dog đã xem bộ phim này hai lần rồi.	3	Destination B2
71	ðə fækt ɪz	The fact is	Sự thật là	The fact is that we don't have enough money to buy a new car.\nSự thật là chúng ta không có đủ tiền để mua một chiếc xe ô tô mới.	3	Destination B2
72	feɪs ðə fækts	Face the facts	Đối mặt với sự thật	You need to face the facts and realize that your plan failed.\nBạn cần đối mặt với sự thật và nhận ra rằng kế hoạch của bạn đã thất bại.	3	Destination B2
73	wɪð ðə ˌɪntrəˈdʌkʃn ɒv ˈsʌmθɪŋ	With the introduction of something	Với sự ra đời/giới thiệu của cái gì	Life became easier with the introduction of smartphones.\nCuộc sống đã trở nên dễ dàng hơn với sự ra đời của điện thoại thông minh.	3	Destination B2
74	ən ˌɪntrəˈdʌkʃn tuː ˈsʌmθɪŋ	An introduction to something	Sự giới thiệu về cái gì, lời mở đầu	This basic course provides a good introduction to computer science.\nKhóa học cơ bản này cung cấp một lời mở đầu tốt về khoa học máy tính.	3	Destination B2
75	ən ˌɪntrəˈdʌkʃn tuː ˈsʌmbədi	An introduction to somebody	Sự giới thiệu với ai đó	Mr.Cat asked for an introduction to the new manager.\nMr.Cat đã yêu cầu một sự giới thiệu với vị quản lý mới.	3	Destination B2
76	meɪk ə fəʊn kɔːl	Make a phone call	Gọi một cuộc điện thoại	I need to step outside to make a quick phone call to my mom.\nTôi cần bước ra ngoài để gọi một cuộc điện thoại nhanh cho mẹ.	3	Destination B2
77	rɪˈsiːv ə fəʊn kɔːl	Receive a phone call	Nhận một cuộc điện thoại	Mr.Fox was surprised to receive a phone call from an old friend.\nMr.Fox đã ngạc nhiên khi nhận được một cuộc điện thoại từ một người bạn cũ.	3	Destination B2
78	ɡet ə fəʊn kɔːl	Get a phone call	Nhận một cuộc điện thoại	Did you get a phone call from the clinic about your results?\nBạn có nhận được cuộc điện thoại nào từ phòng khám về kết quả của mình không?	3	Destination B2
79	ˈkæri aʊt rɪˈsɜːtʃ ɒn ˈsʌmθɪŋ	Carry out research on something	Tiến hành nghiên cứu về cái gì	The university will carry out research on climate change.\nTrường đại học sẽ tiến hành nghiên cứu về biến đổi khí hậu.	3	Destination B2
80	duː rɪˈsɜːtʃ ɒn ˈsʌmθɪŋ	Do research on something	Làm nghiên cứu về cái gì	Students have to do research on historical events for their project.\nHọc sinh phải làm nghiên cứu về các sự kiện lịch sử cho dự án của mình.	3	Destination B2
81	ˈkæri aʊt rɪˈsɜːtʃ ˈɪntuː ˈsʌmθɪŋ	Carry out research into something	Tiến hành nghiên cứu sâu vào cái gì	Scientists carry out research into new ways to cure the disease.\nCác nhà khoa học tiến hành nghiên cứu sâu vào những cách mới để chữa bệnh.	3	Destination B2
82	duː rɪˈsɜːtʃ ˈɪntuː ˈsʌmθɪŋ	Do research into something	Nghiên cứu về cái gì	The laboratory is doing research into artificial intelligence.\nPhòng thí nghiệm đang nghiên cứu về trí tuệ nhân tạo.	3	Destination B2
83	kɔːz ˈsʌmθɪŋ tuː duː ˈsʌmθɪŋ	Cause something to do something	Khiến cái gì làm gì	The strong wind caused the old tree to fall down.\nCơn gió mạnh đã khiến cái cây già bị đổ xuống.	3	Destination B2
84	kənˈsɪdə(r) ˈsʌmθɪŋ	Consider something	Xem xét/cân nhắc cái gì	Please consider my offer before you make your final decision.\nVui lòng xem xét lời đề nghị của tôi trước khi bạn đưa ra quyết định cuối cùng.	3	Destination B2
85	kənˈsɪdə(r) ˈduːɪŋ ˈsʌmθɪŋ	Consider doing something	Cân nhắc làm việc gì	Mr.Dog is considering buying a house closer to his office.\nMr.Dog đang cân nhắc việc mua một ngôi nhà gần văn phòng hơn.	3	Destination B2
86	kənˈsɪdə(r) ˈweðə(r)	Consider whether	Cân nhắc xem liệu	We need to consider whether we can finish the work on time.\nChúng ta cần cân nhắc xem liệu chúng ta có thể hoàn thành công việc đúng hạn không.	3	Destination B2
87	kənˈsɪdə(r) ɪf	Consider if	Cân nhắc nếu/liệu	You should consider if this job is really suitable for you.\nBạn nên cân nhắc liệu công việc này có thực sự phù hợp với bạn không.	3	Destination B2
88	kənˈsɪdə(r) ˈsʌmbədi fɔː(r) ˈsʌmθɪŋ	Consider somebody for something	Cân nhắc ai đó cho vị trí/việc gì	The board will consider Mr.Cat for the position of manager.\nBan giám đốc sẽ cân nhắc Mr.Cat cho vị trí quản lý.	3	Destination B2
89	kənˈsɪdə(r) ɪt streɪndʒ	Consider it strange	Coi điều đó là kỳ lạ	Many people consider it strange that he always eats alone.\nNhiều người coi điều đó là kỳ lạ khi anh ấy luôn ăn một mình.	3	Destination B2
90	dɪˈskʌs ˈsʌmθɪŋ wɪð ˈsʌmbədi	Discuss something with somebody	Thảo luận điều gì với ai	I need to discuss the new plan with my team members.\nTôi cần thảo luận kế hoạch mới với các thành viên trong nhóm của mình.	3	Destination B2
91	dɪˈskʌs ˈduːɪŋ ˈsʌmθɪŋ wɪð ˈsʌmbədi	Discuss doing something with somebody	Thảo luận việc làm gì với ai	Mr.Fox discussed opening a small café with Mr.Dog.\nMr.Fox đã thảo luận việc mở một quán cà phê nhỏ với Mr.Dog.	3	Destination B2
92	ɪkˈspleɪn ðæt	Explain that	Giải thích rằng	The teacher explained that the school would be closed tomorrow.\nGiáo viên giải thích rằng trường học sẽ đóng cửa vào ngày mai.	3	Destination B2
93	ɪkˈspleɪn ˈsʌmθɪŋ tuː ˈsʌmbədi	Explain something to somebody	Giải thích cái gì cho ai	Can you please explain this difficult math problem to me?\nBạn có thể vui lòng giải thích bài toán khó này cho tôi được không?	3	Destination B2
94	ɪnˈtend tuː duː ˈsʌmθɪŋ	Intend to do something	Có ý định làm gì	We intend to visit our grandparents during the holiday.\nChúng tôi có ý định đến thăm ông bà trong kỳ nghỉ.	3	Destination B2
95	ɪnˈtend ˈduːɪŋ ˈsʌmθɪŋ	Intend doing something	Có ý định làm gì	Do you intend staying in this hotel for the whole week?\nBạn có ý định ở lại khách sạn này trong cả tuần không?	3	Destination B2
96	nəʊ əˈbaʊt ˈsʌmθɪŋ	Know about something	Biết về điều gì	Does anyone here know about the history of this old castle?\nCó ai ở đây biết về lịch sử của tòa lâu đài cổ này không?	3	Destination B2
97	nəʊ əˈbaʊt ˈduːɪŋ ˈsʌmθɪŋ	Know about doing something	Biết về việc làm gì	You should know about updating your computer to keep it safe.\nBạn nên biết về việc cập nhật máy tính của mình để giữ an toàn.	3	Destination B2
98	nəʊ ɒv ˈsʌmbədi	Know of somebody	Biết đến ai đó	I don't know him personally, but I know of his great work.\nTôi không biết cá nhân anh ấy, nhưng tôi biết đến công việc tuyệt vời của anh ấy.	3	Destination B2
99	biː nəʊn æz ˈsʌmθɪŋ	Be known as something	Được biết đến như là cái gì	This city is known as the center of fashion in the country.\nThành phố này được biết đến như là trung tâm thời trang của cả nước.	3	Destination B2
100	lʊk æt ˈsʌmθɪŋ	Look at something	Nhìn vào cái gì	Please look at the whiteboard while I explain the rule.\nVui lòng nhìn vào bảng trắng trong khi tôi giải thích quy tắc.	3	Destination B2
101	lʊk æt ˈsʌmbədi	Look at somebody	Nhìn vào ai đó	Mr.Cat looked at Mr.Fox with a big smile on his face.\nMr.Cat đã nhìn vào Mr.Fox với một nụ cười rạng rỡ trên khuôn mặt.	3	Destination B2
102	lʊk fɔː(r) ˈsʌmθɪŋ	Look for something	Tìm kiếm cái gì	I am trying to look for my car keys everywhere in the house.\nTôi đang cố gắng tìm kiếm chìa khóa xe ô tô của mình ở khắp nơi trong nhà.	3	Destination B2
103	lʊk fɔː(r) ˈsʌmbədi	Look for somebody	Tìm kiếm ai đó	They went to the station to look for their missing friend.\nHọ đã đến nhà ga để tìm kiếm người bạn bị mất tích của mình.	3	Destination B2
104	lʊk ˈfɔːwəd tuː ˈsʌmθɪŋ	Look forward to something	Mong đợi điều gì	Children always look forward to the summer vacation every year.\nTrẻ em luôn mong đợi kỳ nghỉ hè mỗi năm.	3	Destination B2
105	lʊk ˈfɔːwəd tuː ˈduːɪŋ ˈsʌmθɪŋ	Look forward to doing something	Mong đợi làm việc gì	We are looking forward to meeting you at the party next week.\nChúng tôi đang mong đợi được gặp bạn tại bữa tiệc vào tuần tới.	3	Destination B2
106	ˈmænɪdʒ tuː duː ˈsʌmθɪŋ	Manage to do something	Xoay xở/thành công làm việc gì	Even though it was raining, he managed to arrive on time.\nMặc dù trời mưa, anh ấy vẫn xoay xở đến đúng giờ.	3	Destination B2
107	plæn ˈsʌmθɪŋ	Plan something	Lên kế hoạch cho cái gì	Our team met yesterday to plan the upcoming marketing event.\nNhóm của chúng tôi đã họp ngày hôm qua để lên kế hoạch cho sự kiện tiếp thị sắp tới.	3	Destination B2
108	plæn tuː duː ˈsʌmθɪŋ	Plan to do something	Lên kế hoạch làm gì	Mr.Dog and his family plan to travel abroad next summer.\nMr.Dog và gia đình của anh ấy lên kế hoạch đi du lịch nước ngoài vào mùa hè tới.	3	Destination B2
109	ˈpɒsəbl fɔː(r) ˈsʌmbədi tuː duː ˈsʌmθɪŋ	Possible for somebody to do something	Có khả năng cho ai đó làm gì	It is possible for you to finish this course within three months.\nBạn hoàn toàn có khả năng hoàn thành khóa học này trong vòng ba tháng.	3	Destination B2
110	faɪnd ˈsʌmθɪŋ ˈpɒsəbl	Find something possible	Thấy cái gì đó khả thi	After some research, we found the new plan possible to achieve.\nSau một vài nghiên cứu, chúng tôi thấy kế hoạch mới khả thi để đạt được.	3	Destination B2
111	faɪnd ɪt ɪmˈpɒsəbl tuː duː ˈsʌmθɪŋ	Find it impossible to do something	Thấy không thể làm được việc gì	Mr.Fox found it impossible to sleep because of the loud music.\nMr.Fox thấy không thể ngủ được vì tiếng nhạc lớn.	3	Destination B2
112	rɪˈzʌlt ɒv ˈsʌmθɪŋ	Result of something	Kết quả của cái gì	His high test score was the direct result of his hard work.\nĐiểm kiểm tra cao của anh ấy là kết quả trực tiếp từ sự chăm chỉ của mình.	3	Destination B2
113	rɪˈzʌlt ɒv ˈduːɪŋ ˈsʌmθɪŋ	Result of doing something	Kết quả của việc làm gì	Losing weight is the natural result of exercising regularly.\nGiảm cân là kết quả tự nhiên của việc tập thể dục thường xuyên.	3	Destination B2
114	rɪˈzʌlt ɪn ˈsʌmθɪŋ	Result in something	Dẫn đến cái gì	The heavy snowstorm resulted in many flights being delayed.\nTrận bão tuyết lớn đã dẫn đến việc nhiều chuyến bay bị hoãn.	3	Destination B2
115	rɪˈzʌlt ɪn ˈsʌmbədiz ˈduːɪŋ	Result in somebody's doing	Dẫn đến việc ai đó làm gì	His carelessness resulted in Mr.Cat's losing the match.\nSự bất cẩn của anh ấy đã dẫn đến việc Mr.Cat bị thua trận đấu.	3	Destination B2
116	rɪˈzʌlt frɒm ˈsʌmθɪŋ	Result from something	Bắt nguồn từ cái gì	Many traffic problems result from poor road conditions.\nNhiều vấn đề giao thông bắt nguồn từ điều kiện đường sá kém.	3	Destination B2
117	rɪˈzʌlt frɒm ˈduːɪŋ ˈsʌmθɪŋ	Result from doing something	Bắt nguồn từ việc làm gì	The fire resulted from playing with matches in the bedroom.\nVụ hỏa hoạn bắt nguồn từ việc chơi với diêm trong phòng ngủ.	3	Destination B2
118	æz ə rɪˈzʌlt ɒv ˈsʌmθɪŋ	As a result of something	Là kết quả của cái gì	As a result of the rain, the outdoor match was cancelled.\nLà kết quả của trận mưa, trận đấu ngoài trời đã bị hủy bỏ.	3	Destination B2
119	ˈwʌndə(r) əˈbaʊt ˈsʌmθɪŋ	Wonder about something	Băn khoăn/thắc mắc về cái gì	I often wonder about the future of artificial intelligence.\nTôi thường băn khoăn về tương lai của trí tuệ nhân tạo.	3	Destination B2
120	ˈwʌndə(r) əˈbaʊt ˈduːɪŋ ˈsʌmθɪŋ	Wonder about doing something	Băn khoăn về việc làm gì	Mr.Dog is wondering about changing his current career path.\nMr.Dog đang băn khoăn về việc thay đổi con đường sự nghiệp hiện tại của mình.	3	Destination B2
121	ˈwʌndə(r) ɪf	Wonder if	Tự hỏi liệu	I wonder if it will rain during our picnic tomorrow afternoon.\nTôi tự hỏi liệu trời có mưa trong buổi dã ngoại của chúng ta chiều mai không.	3	Destination B2
122	ˈwʌndə(r) ˈweðə(r)	Wonder whether	Tự hỏi liệu	She wonders whether she should accept the new job offer.\nCô ấy tự hỏi liệu mình có nên chấp nhận lời mời nhận việc mới không.	3	Destination B2
123	ˈwʌndə(r) waɪ	Wonder why	Tự hỏi tại sao	Many people wonder why Mr.Fox decided to leave the company.\nNhiều người tự hỏi tại sao Mr.Fox lại quyết định rời khỏi công ty.	3	Destination B2
124	əˈpɪə(r)	Appear	Xuất hiện, có vẻ	New leaves begin to appear on the trees in early spring.\nNhững chiếc lá mới bắt đầu xuất hiện trên cây vào đầu mùa xuân.	3	Destination B2
125	əˈpɪərəns	Appearance	Ngoại hình, sự xuất hiện	You shouldn't judge a person based only on their appearance.\nBạn không nên đánh giá một người chỉ dựa trên ngoại hình của họ.	3	Destination B2
126	əˈpærəntli	Apparently	Hình như, có vẻ như	Apparently, the train has been delayed due to the bad weather.\nHình như chuyến tàu đã bị hoãn do thời tiết xấu.	3	Destination B2
127	bɪld	Build	Xây dựng	The town plans to build a new library near the central park.\nThị trấn có kế hoạch xây dựng một thư viện mới gần công viên trung tâm.	3	Destination B2
128	ˈbɪldə(r)	Builder	Thợ xây, nhà thầu	The builder promised to finish our house before the winter starts.\nNhà thầu hứa sẽ hoàn thành ngôi nhà của chúng tôi trước khi mùa đông bắt đầu.	3	Destination B2
