STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
77	/ˈpɑːpjələr əˈmʌŋ/	popular among someones	Được yêu thích, phổ biến trong số những người nào đó	The new teacher is extremely popular among the students.\nGiáo viên mới cực kỳ được yêu thích trong số các học sinh.	2	Destination B2
78	/ɑːn ði ˈɑːpəzɪt saɪd/	on the opposite side	Ở phía đối diện	The bank is located on the opposite side of the main street.\nNgân hàng nằm ở phía đối diện của con phố chính.	2	Destination B2
79	/ɑːn ðə fɑːr saɪd/	on the far side	Ở phía xa (của một khu vực)	Mr.Fox parked his car on the far side of the building.\nMr.Fox đã đỗ xe của mình ở phía xa của tòa nhà.	2	Destination B2
80	/saɪd wɪθ ˈsʌmweʌn/	side with someone	Đứng về phía ai đó (bênh vực)	Whenever we have an argument, my mother always sides with my sister.\nMỗi khi chúng tôi tranh cãi, mẹ tôi luôn đứng về phía chị gái tôi.	2	Destination B2
81	/ɑːn ðə ˈwɪnɪŋ saɪd/	on the winning side	Ở phe chiến thắng	Mr.Dog was thrilled to be on the winning side of the debate tournament.\nMr.Dog rất sung sướng khi được ở phe chiến thắng trong giải đấu tranh biện.	2	Destination B2
82	/ɑːn ðə ˈluːzɪŋ saɪd/	on the losing side	Ở phe thua cuộc	No one wants to end up on the losing side of a business deal.\nKhông ai muốn rơi vào phe thua thiệt trong một thỏa thuận kinh doanh.	2	Destination B2
83	/hæv ə ˈtælənt fər ˈsʌmθɪŋ/	have a talent for something	Có tài năng về cái gì	Mr.Cat clearly has a talent for foreign languages; he speaks four fluently.\nMr.Cat rõ ràng có năng khiếu về ngoại ngữ; anh ấy nói trôi chảy bốn thứ tiếng.	2	Destination B2
84	/hæv ə ˈtælənt fər ˈduːɪŋ ˈsʌmθɪŋ/	have a talent for doing something	Có tài năng làm việc gì	Mr.Fox has a remarkable talent for persuading people to buy things.\nMr.Fox có một tài năng đáng kinh ngạc trong việc thuyết phục mọi người mua hàng.	2	Destination B2
85	/ɑːn taɪm/	on time	Đúng giờ (chính xác theo lịch trình)	The train departed exactly on time despite the heavy snow.\nChuyến tàu đã khởi hành chính xác đúng giờ mặc cho tuyết rơi dày.	2	Destination B2
86	/ɪn taɪm/	in time	Kịp giờ (vừa kịp lúc để làm gì)	We arrived at the airport just in time to catch our flight.\nChúng tôi đã đến sân bay vừa kịp lúc để bắt chuyến bay của mình.	2	Destination B2
87	/ðə hoʊl taɪm/	the whole time	Toàn bộ thời gian (suốt thời gian đó)	Mr.Dog was talking on his phone the whole time during the movie.\nMr.Dog đã nói chuyện điện thoại suốt toàn bộ thời gian xem phim.	2	Destination B2
88	/haɪ taɪm/	high time	Đã đến lúc (cần phải làm ngay, cấp bách)	It is high time you started looking for a stable job.\nĐã đến lúc cấp bách bạn phải bắt đầu tìm kiếm một công việc ổn định rồi đấy.	2	Destination B2
89	/əˈbaʊt taɪm/	about time	Đã đến lúc (lẽ ra nên làm sớm hơn)	It is about time Mr.Cat apologized for his rude behavior.\nĐã đến lúc Mr.Cat phải xin lỗi vì hành vi thô lỗ của anh ấy.	2	Destination B2
90	/teɪk jɔːr taɪm ˈduːɪŋ ˈsʌmθɪŋ/	take your time doing something	Cứ từ từ làm việc gì (không cần vội vàng)	Take your time reading the contract before you sign it.\nHãy cứ từ từ đọc hợp đồng trước khi bạn ký tên nhé.	2	Destination B2
91	/teɪk taɪm tu du ˈsʌmθɪŋ/	take time to do something	Cần thời gian/dành thời gian để làm gì	It will take time to rebuild the house after the terrible earthquake.\nSẽ cần thời gian để xây dựng lại ngôi nhà sau trận động đất khủng khiếp.	2	Destination B2
92	/ˈsʌmθɪŋ teɪks ʌp jɔːr taɪm/	something takes up your time	Cái gì đó chiếm nhiều thời gian của bạn	Commuting to work in traffic jams really takes up a lot of my time.\nViệc đi lại làm việc trong cảnh tắc đường thực sự chiếm rất nhiều thời gian của tôi.	2	Destination B2
93	/spend taɪm ˈduːɪŋ ˈsʌmθɪŋ/	spend time doing something	Dành thời gian làm việc gì	Mr.Fox spends a lot of time reading articles on the internet.\nMr.Fox dành rất nhiều thời gian để đọc các bài báo trên mạng.	2	Destination B2
94	/spend taɪm ɑːn ˈsʌmθɪŋ/	spend time on something	Dành thời gian cho việc gì	You should spend more time on your studies instead of playing games.\nBạn nên dành nhiều thời gian hơn cho việc học thay vì chơi trò chơi.	2	Destination B2
95	/ət ə ˈsɜːrtn taɪm/	at a certain time	Tại một thời điểm nhất định	The alarm is set to go off at a certain time every morning.\nChuông báo thức được cài đặt để reo vào một thời điểm nhất định mỗi buổi sáng.	2	Destination B2
96	/fər ə ˈsɜːrtn taɪm/	for a certain time	Trong một khoảng thời gian nhất định	The files will be kept in the archive for a certain time before being destroyed.\nCác tài liệu sẽ được lưu giữ trong kho lưu trữ một khoảng thời gian nhất định trước khi bị tiêu hủy.	2	Destination B2
97	/taɪm ˈpæsɪz/	time passes	Thời gian trôi qua	As time passes, the painful memories of the accident will slowly fade.\nKhi thời gian trôi qua, những ký ức đau buồn về vụ tai nạn sẽ dần phai mờ.	2	Destination B2
98	/faɪnd taɪm tu du ˈsʌmθɪŋ/	find time to do something	Sắp xếp/tìm được thời gian để làm gì	Even though Mr.Dog is busy, he always finds time to visit his parents.\nMặc dù Mr.Dog rất bận rộn, anh ấy luôn sắp xếp thời gian để đi thăm bố mẹ.	2	Destination B2
99	/meɪk taɪm fər ˈsʌmθɪŋ/	make time for something	Dành thời gian cho việc gì (dù bận rộn)	It is important to make time for relaxation in our busy modern lives.\nViệc dành thời gian cho sự thư giãn trong cuộc sống hiện đại bận rộn của chúng ta là rất quan trọng.	2	Destination B2
100	/faɪnd taɪm fər ˈsʌmθɪŋ/	find time for something	Có thời gian/sắp xếp thời gian cho việc gì	Mr.Cat struggles to find time for his hobbies because of his demanding job.\nMr.Cat chật vật trong việc tìm thời gian cho những sở thích cá nhân vì công việc quá áp lực.	2	Destination B2
101	/fər ðə taɪm ˈbiːɪŋ/	for the time being	Trong lúc này, tạm thời	Mr.Fox is staying at a hotel for the time being while his house is being renovated.\nMr.Fox tạm thời ở khách sạn trong lúc nhà anh ấy đang được sửa chữa.	2	Destination B2
102	/hæv ə ɡʊd taɪm ˈduːɪŋ ˈsʌmθɪŋ/	have a good time doing something	Vui vẻ, có khoảng thời gian tuyệt vời khi làm gì	Mr.Dog and his friends had a good time playing board games last night.\nMr.Dog và bạn bè của anh ấy đã rất vui vẻ khi chơi cờ bàn tối qua.	2	Destination B2
103	/tel ðə taɪm/	tell the time	Xem giờ, đọc giờ	Children usually learn how to tell the time when they are in primary school.\nTrẻ em thường học cách xem giờ khi học tiểu học.	2	Destination B2
104	/friː taɪm/	free time	Thời gian rảnh rỗi	In his free time, Mr.Cat often volunteers at the local animal shelter.\nTrong thời gian rảnh rỗi, Mr.Cat thường làm tình nguyện ở trạm cứu hộ động vật địa phương.	2	Destination B2
105	/sper taɪm/	spare time	Thời gian rảnh rỗi	I don't have much spare time these days because of the upcoming final exams.\nDạo này tôi không có nhiều thời gian rảnh vì những bài thi cuối kỳ sắp tới.	2	Destination B2
106	/ˈliːʒər taɪm/	leisure time	Thời gian giải trí, rảnh rỗi	Mr.Fox likes to spend his leisure time reading books in his peaceful garden.\nMr.Fox thích dành thời gian giải trí để đọc sách ngoài khu vườn yên tĩnh của mình.	2	Destination B2
107	/kəmˈpiːt/	compete	Cạnh tranh, thi đấu	Several talented athletes will compete in the upcoming national championship.\nMột số vận động viên tài năng sẽ thi đấu trong giải vô địch quốc gia sắp tới.	2	Destination B2
108	/kəmˈpiːt əˈɡenst ˈsʌmweʌn/	compete against someone	Thi đấu/cạnh tranh với ai (nhấn mạnh sự đối đầu)	Mr.Dog is preparing relentlessly to compete against the reigning champion.\nMr.Dog đang chuẩn bị không ngừng nghỉ để thi đấu với nhà đương kim vô địch.	2	Destination B2
109	/kəmˈpiːt wɪθ ˈsʌmweʌn/	compete with someone	Cạnh tranh/thi đấu với ai	Small local businesses often find it hard to compete with large multinational corporations.\nCác doanh nghiệp nhỏ ở địa phương thường cảm thấy khó khăn khi cạnh tranh với các tập đoàn đa quốc gia.	2	Destination B2
110	/kəmˈpiːt fər ˈsʌmθɪŋ/	compete for something	Cạnh tranh để giành được cái gì	Five different teams will compete for the prestigious trophy this year.\nNăm đội khác nhau sẽ cạnh tranh để giành chiếc cúp danh giá trong năm nay.	2	Destination B2
111	/kəmˈpiːt ɪn ˈsʌmθɪŋ/	compete in something	Thi đấu trong một giải/môn nào đó	Mr.Cat hopes to compete in the marathon event next spring.\nMr.Cat hy vọng sẽ thi đấu trong sự kiện chạy marathon vào mùa xuân tới.	2	Destination B2
112	/ˈɪntrəstɪd ɪn ˈsʌmθɪŋ/	interested in something	Quan tâm, thích thú với cái gì	Mr.Fox has always been highly interested in ancient history and cultures.\nMr.Fox luôn rất có hứng thú với lịch sử và văn hóa cổ đại.	2	Destination B2
113	/ˈɪntrəstɪd ɪn ˈduːɪŋ ˈsʌmθɪŋ/	interested in doing something	Quan tâm/thích làm việc gì	Is Mr.Dog interested in joining our photography club this weekend?\nMr.Dog có muốn tham gia câu lạc bộ nhiếp ảnh của chúng ta vào cuối tuần này không?	2	Destination B2
